rank,title,score,num_of_votes,director,release_year,country,theme,summary,movie_url
1,肖申克的救赎,9.6,1017215, 弗兰克·德拉邦特 Frank Darabont,1994,美国,犯罪 剧情,希望让人自由。,https://movie.douban.com/subject/1292052/
2,霸王别姬,9.5,739793, 陈凯歌 Kaige Chen,1993,中国大陆 香港,剧情 爱情 同性,风华绝代。,https://movie.douban.com/subject/1291546/
3,这个杀手不太冷,9.4,954476, 吕克·贝松 Luc Besson,1994,法国,剧情 动作 犯罪,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/
4,阿甘正传,9.4,811907, Robert Zemeckis,1994,美国,剧情 爱情,一部美国近现代史。,https://movie.douban.com/subject/1292720/
5,美丽人生,9.5,474278, 罗伯托·贝尼尼 Roberto Benigni,1997,意大利,剧情 喜剧 爱情 战争,最美的谎言。,https://movie.douban.com/subject/1292063/
6,千与千寻,9.3,759978, 宫崎骏 Hayao Miyazaki,2001,日本,剧情 动画 奇幻,最好的宫崎骏，最好的久石让。 ,https://movie.douban.com/subject/1291561/
7,泰坦尼克号,9.3,751572, 詹姆斯·卡梅隆 James Cameron,1997,美国,剧情 爱情 灾难,失去的才是永恒的。 ,https://movie.douban.com/subject/1292722/
8,辛德勒的名单,9.4,431760, 史蒂文·斯皮尔伯格 Steven Spielberg,1993,美国,剧情 历史 战争,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/
9,盗梦空间,9.3,851127, 克里斯托弗·诺兰 Christopher Nolan,2010,美国 英国,剧情 科幻 悬疑 冒险,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/
10,机器人总动员,9.3,558157, 安德鲁·斯坦顿 Andrew Stanton,2008,美国,爱情 科幻 动画 冒险,小瓦力，大人生。,https://movie.douban.com/subject/2131459/
11,海上钢琴师,9.2,656141, 朱塞佩·托纳多雷 Giuseppe Tornatore,1998,意大利,剧情 音乐,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://movie.douban.com/subject/1292001/
12,三傻大闹宝莱坞,9.2,765107, 拉库马·希拉尼 Rajkumar Hirani,2009,印度,剧情 喜剧 爱情 歌舞,英俊版憨豆，高情商版谢耳朵。,https://movie.douban.com/subject/3793023/
13,忠犬八公的故事,9.2,527498, 莱塞·霍尔斯道姆 Lasse Hallström,2009,美国 英国,剧情,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/
14,放牛班的春天,9.2,511369, 克里斯托夫·巴拉蒂 Christophe Barratier,2004,法国 瑞士 德国,剧情 音乐,天籁一般的童声，是最接近上帝的存在。 ,https://movie.douban.com/subject/1291549/
15,大话西游之大圣娶亲,9.2,559249, 刘镇伟 Jeffrey Lau,1995,香港 中国大陆,喜剧 爱情 奇幻 冒险,一生所爱。,https://movie.douban.com/subject/1292213/
16,楚门的世界,9.1,530799, 彼得·威尔 Peter Weir,1998,美国,剧情 科幻,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/
17,龙猫,9.1,472071, 宫崎骏 Hayao Miyazaki,1988,日本,儿童 动画 奇幻 家庭,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/
18,教父,9.2,383945, 弗朗西斯·福特·科波拉 Francis Ford Coppola,1972,美国,剧情 犯罪,千万不要记恨你的对手，这样会让你失去理智。,https://movie.douban.com/subject/1291841/
19,熔炉,9.2,307850, 黄东赫 Dong-hyuk Hwang,2011,韩国,剧情,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://movie.douban.com/subject/5912992/
20,星际穿越,9.2,558674, 克里斯托弗·诺兰 Christopher Nolan,2014,美国 英国 加拿大 冰岛,剧情 科幻 冒险,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/
21,乱世佳人,9.2,298537, 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,1939,美国,剧情 历史 爱情 战争,Tomorrow is another day.,https://movie.douban.com/subject/1300267/
22,触不可及,9.1,414616, 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,2011,法国,剧情 喜剧,满满温情的高雅喜剧。,https://movie.douban.com/subject/6786002/
23,无间道,9.0,456477, 刘伟强 / 麦兆,2002,香港,剧情 犯罪 悬疑,香港电影史上永不过时的杰作。,https://movie.douban.com/subject/1307914/
24,当幸福来敲门,8.9,604781, 加布里尔·穆奇诺 Gabriele Muccino,2006,美国,剧情 传记 家庭,平民励志片。 ,https://movie.douban.com/subject/1849031/
25,天堂电影院,9.1,337209, 朱塞佩·托纳多雷 Giuseppe Tornatore,1988,意大利 法国,剧情 爱情,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://movie.douban.com/subject/1291828/
26,怦然心动,8.9,631416, 罗伯·莱纳 Rob Reiner,2010,美国,剧情 喜剧 爱情,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/
27,十二怒汉,9.4,190424, Sidney Lumet,1957,美国,剧情,1957年的理想主义。 ,https://movie.douban.com/subject/1293182/
28,搏击俱乐部,9.0,433527, 大卫·芬奇 David Fincher,1999,美国 德国,剧情 动作 悬疑 惊悚,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://movie.douban.com/subject/1292000/
29,少年派的奇幻漂流,9.0,639179, 李安 Ang Lee,2012,美国 台湾 英国 加拿大,剧情 奇幻 冒险,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/
30,鬼子来了,9.2,259196, 姜文 Wen Jiang,2000,中国大陆,剧情 历史 战争,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/
